Model,AUC,LogLoss,GAUC,Time (ms)
MACGNN,0.745988,0.584745,0.72065,0.0051
DEEPFM,0.618282,0.679630,0.54585,0.0023
DIN,0.615590,0.690722,0.54609,0.0033
DIEN,0.613406,0.680122,0.53870,0.0142
